algorithm,zipf,throughput,latency
EIGER,0,16672,16035
EIGER,0.7,14270,18773
EIGER,0.8,7170,17173
EIGER,0.9,7725,15087
EIGER,0.99,5767,15144
EIGER,1.2,4253,19058
EIGER,1.1,3948,23226
EIGER_PORT,0,23615,13033
EIGER_PORT,0.7,17851,11790
EIGER_PORT,0.8,15159,11770
EIGER_PORT,0.9,10288,12219
EIGER_PORT,0.99,9469,12873
EIGER_PORT,1.1,10486,15855
EIGER_PORT,1.2,7963,17727
EIGER_PORT_PLUS,0,23742,13015
EIGER_PORT_PLUS,0.7,18609,11613
EIGER_PORT_PLUS,0.8,17951,12090
EIGER_PORT_PLUS,0.9,13953,12658
EIGER_PORT_PLUS,0.99,13433,14436
EIGER_PORT_PLUS,1.1,10944,15002
EIGER_PORT_PLUS,1.2,9379,18773
