algorithm,zipf,normalized_throughput,normalized_latency
EIGER,0,1,1
EIGER,0.7,1,1
EIGER,0.8,1,1
EIGER,0.9,1,1
EIGER,0.99,1,1
EIGER,1.1,1,1
EIGER,1.2,1,1
EIGER_PORT,0,1.416446737,0.812784534
EIGER_PORT,0.7,1.250946041,0.628029617
EIGER_PORT,0.8,2.114225941,0.68537821
EIGER_PORT,0.9,1.331779935,0.809902565
EIGER_PORT,0.99,1.641928212,0.85003962
EIGER_PORT,1.1,2.465553727,0.831934096
EIGER_PORT,1.2,2.016970618,0.763239473
EIGER_PORT_PLUS,0,1.424064299,0.811661989
EIGER_PORT_PLUS,0.7,1.304064471,0.618601183
EIGER_PORT_PLUS,0.8,2.50362622,0.704012112
EIGER_PORT_PLUS,0.9,1.806213592,0.839000464
EIGER_PORT_PLUS,0.99,2.329287324,0.953248811
EIGER_PORT_PLUS,1.1,2.573242417,0.787175989
EIGER_PORT_PLUS,1.2,2.375633232,0.808275209
